merchant,description,amount,date,type,category,confidence,method,transaction_type
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,3.7,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,2.5,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,33.03,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,11.57,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,2.5,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,4.8,2024-11-11,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 532175740 SI NG 06NOV,BUS/MRT 532175740 SI NG 06NOV,3.34,2024-11-12,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
APPLE.COM/BILL 80 01 09NOV,APPLE.COM/BILL 09NOV,4.09,2024-11-12,withdrawal,shopping,0.25679951906204224,bert,Debit Card Transaction
JOLLIBEE NUS SI NG 10NOV,JOLLIBEE NUS SI NG 10NOV,9.35,2024-11-13,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.5,2024-11-13,withdrawal,others,1.0,hardcoded,Funds Transfer
BUS/MRT 532753216 SI NG 07NOV,BUS/MRT 532753216 SI NG 07NOV,3.34,2024-11-13,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
BUS/MRT 533364454 SI NG 08NOV,BUS/MRT 533364454 SI NG 08NOV,1.67,2024-11-13,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
YEW KEE - NUS U TOWN SI NG 09NOV,YEW KEE - NUS U TOWN SI NG 09NOV,6.8,2024-11-13,withdrawal,groceries,0.43183064460754395,bert,Debit Card Transaction
MR BEAN - NUS SI NG 10NOV,MR BEAN - NUS SI NG 10NOV,2.25,2024-11-13,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,9.8,2024-11-13,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,10.0,2024-11-13,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,5.0,2024-11-13,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,6.4,2024-11-14,withdrawal,others,1.0,hardcoded,Funds Transfer
FRESH LAUNDRY - NUS SI NG 10NOV,FRESH LAUNDRY - NUS SI NG 10NOV,1.0,2024-11-14,withdrawal,others,0.7828640937805176,bert,Debit Card Transaction
FRESH LAUNDRY - NUS SI NG 10NOV,FRESH LAUNDRY - NUS SI NG 10NOV,1.0,2024-11-14,withdrawal,others,0.7828640937805176,bert,Debit Card Transaction
YEW KEE - NUS U TOWN SI NG 11NOV,YEW KEE - NUS U TOWN SI NG 11NOV,6.1,2024-11-14,withdrawal,groceries,0.43183064460754395,bert,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,1.7,2024-11-14,withdrawal,others,1.0,hardcoded,Funds Transfer
STUFF'D ONE@KENT RIDGE SI NG 12NOV,STUFF'D ONE@KENT RIDGE SI NG 12NOV,6.6,2024-11-15,withdrawal,dining,1.0,hardcoded,Debit Card Transaction
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,3.5,2024-11-16,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,1.4,2024-11-18,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,100.0,2024-11-18,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,13.73,2024-11-18,withdrawal,others,1.0,hardcoded,Funds Transfer
TOP-UP TO PAYLAH! :,TOP-UP TO PAYLAH! :,17.0,2024-11-19,withdrawal,others,1.0,hardcoded,Funds Transfer
YEW KEE - NUS U TOWN SI SGP 16NOV,YEW KEE - NUS U TOWN SI SGP 16NOV,6.3,2024-11-19,withdrawal,groceries,0.3880314528942108,bert,Debit Card Transaction
NAM DAE MUN SINGAPORE 238 SGP 17NOV,NAM DAE MUN SINGAPORE 238 SGP 17NOV,4.8,2024-11-19,withdrawal,groceries,0.5006448030471802,bert,Debit Card Transaction
0521 HAIR SALON SINGAPORE SGP 17NOV,0521 HAIR SALON SINGAPORE SGP 17NOV,45.0,2024-11-19,withdrawal,others,0.835694432258606,bert,Debit Card Transaction
NUS-OHS (EVS) SINGAPORE SGP 18NOV,NUS-OHS (EVS) SINGAPORE SGP 18NOV,20.0,2024-11-19,withdrawal,transportation,0.2363535761833191,bert,Debit Card Transaction
BUS/MRT 537293630 SI NG 15NOV,BUS/MRT 537293630 SI NG 15NOV,3.34,2024-11-20,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
IM ACAI PTE LTD N/ A 14NOV,IM ACAI PTE LTD N/ A 14NOV,9.9,2024-11-20,withdrawal,transportation,0.21502022445201874,bert,Debit Card Transaction
YEW KEE - NUS U TOWN SI NG 14NOV,YEW KEE - NUS U TOWN SI NG 14NOV,2.5,2024-11-20,withdrawal,groceries,0.43183064460754395,bert,Debit Card Transaction
BUS/MRT 535636670 SI NG 12NOV,BUS/MRT 535636670 SI NG 12NOV,3.34,2024-11-20,withdrawal,transportation,1.0,hardcoded,Debit Card Transaction
PHYGITAL NETWORK PTE L SI SGP 17NOV,PHYGITAL NETWORK PTE L SI SGP 17NOV,3.9,2024-11-20,withdrawal,healthcare,0.42326730489730835,bert,Debit Card Transaction
BRANDY MELVILLE SINGAPORE SGP 17NOV,BRANDY MELVILLE SINGAPORE SGP 17NOV,77.0,2024-11-20,withdrawal,shopping,0.4200214147567749,bert,Debit Card Transaction
FR 313 DIVINE CHICKEN SI SGP 17NOV,FR 313 DIVINE CHICKEN SI SGP 17NOV,8.8,2024-11-20,withdrawal,dining,0.763222336769104,bert,Debit Card Transaction
FRESH LAUNDRY - NUS SI SGP 17NOV,FRESH LAUNDRY - NUS SI SGP 17NOV,1.0,2024-11-21,withdrawal,others,0.8252667784690857,bert,Debit Card Transaction
